OBJECTID,REGION,NOM_REGION,PROVINCIA,NOM_PROVIN,COMUNA,NOM_COMUNA,T_HOM_R,T_MUJ_R,T_POB_R,T_HOM_U,T_MUJ_U,T_POB_U,T_HOM,T_MUJ,T_POB,T_VIV_U,T_VIV_R,T_VIV,Shape_Leng,Shape__Area,Shape__Length,SUPERFICIE__KM2_,Densidad_
26,11,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,113,CAPITÁN PRAT,11301,COCHRANE,419,230,649,1483,1358,2841,1902,1588,3490,1310,461,1771,6.58084153,18804271745.3281,868268.34048886,8639.51464844,0.40395787
27,10,REGIÓN DE LOS LAGOS,102,CHILOÉ,10204,CURACO DE VÉLEZ,1345,1378,2723,508,598,1106,1853,1976,3829,478,1215,1693,0.52435699,145772615.296875,65125.89977973,79.28095245,48.29659653
28,10,REGIÓN DE LOS LAGOS,102,CHILOÉ,10206,PUQUELDÓN,1973,1948,3921,0,0,0,1973,1948,3921,0,1641,1641,0.76562278,177490748.601562,97718.6362126,95.89519501,40.88838959
29,8,REGIÓN DEL BIOBÍO,83,BIOBÍO,8308,QUILACO,1095,1023,2118,906,964,1870,2001,1987,3988,761,1175,1936,2.82440645,1812783548.35547,350061.02840289,1126.77636719,3.5393002
30,10,REGIÓN DE LOS LAGOS,101,LLANQUIHUE,10103,COCHAMÓ,2195,1828,4023,0,0,0,2195,1828,4023,0,2240,2240,6.16920587,7069885377.63281,785253.92779066,3931.64257813,1.02323651
31,8,REGIÓN DEL BIOBÍO,83,BIOBÍO,8302,ANTUCO,1022,974,1996,953,1124,2077,1975,2098,4073,861,1147,2008,3.18173412,3097610482.46875,390680.89040533,1958.6204834,2.07952476
32,7,REGIÓN DEL MAULE,71,TALCA,7104,EMPEDRADO,614,520,1134,1585,1423,3008,2199,1943,4142,1126,534,1660,1.42678512,860620384.958984,173674.04314651,568.3850708,7.28731298
33,4,REGIÓN DE COQUIMBO,41,ELQUI,4104,LA HIGUERA,1607,1341,2948,629,664,1293,2236,2005,4241,557,2103,2660,4.46886232,5499324394.84766,531925.62657039,4161.32666016,1.01914608
34,4,REGIÓN DE COQUIMBO,43,LIMARÍ,4305,RÍO HURTADO,2138,2140,4278,0,0,0,2138,2140,4278,0,2764,2764,3.04672419,2976173995.95508,362741.37966176,2204.08764648,1.94093919
35,16,REGIÓN DE ÑUBLE,163,PUNILLA,16304,SAN FABIÁN,1388,1226,2614,815,879,1694,2203,2105,4308,904,1402,2306,3.04754596,2396107112.30078,379516.70143676,1544.82373047,2.78866768
36,7,REGIÓN DEL MAULE,73,CURICÓ,7309,VICHUQUÉN,1618,1514,3132,599,591,1190,2217,2105,4322,564,2901,3465,1.15508888,671583317.619141,143627.63741022,451.92315674,9.56357288
37,4,REGIÓN DE COQUIMBO,41,ELQUI,4105,PAIGUANO,2240,2257,4497,0,0,0,2240,2257,4497,0,2373,2373,2.00692539,2035479422.70703,241573.3862586,1513.69140625,2.97088289
38,16,REGIÓN DE ÑUBLE,162,ITATA,16205,PORTEZUELO,1575,1483,3058,841,963,1804,2416,2446,4862,727,1343,2070,0.87034288,447824610.935547,107003.71959965,288.68746948,16.84174347
39,11,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,114,GENERAL CARRERA,11401,CHILE CHICO,987,716,1703,1590,1572,3162,2577,2288,4865,1436,1166,2602,5.39540748,12245257155.7891,702151.10835228,5754.48876953,0.84542698
40,16,REGIÓN DE ÑUBLE,162,ITATA,16202,COBQUECURA,1889,1670,3559,636,817,1453,2525,2487,5012,817,2396,3213,1.58544863,886199713.902344,198607.14834251,576.3237915,8.69649982
41,10,REGIÓN DE LOS LAGOS,104,PALENA,10401,CHAITÉN,2149,1279,3428,867,776,1643,3016,2055,5071,740,1481,2221,10.79893982,15552755014.8125,1410514.57640113,8290.22363281,0.61168438
42,16,REGIÓN DE ÑUBLE,162,ITATA,16204,NINHUE,1869,1845,3714,698,801,1499,2567,2646,5213,615,1684,2299,1.19658409,622034044.863281,147825.29472154,402.87890625,12.93937206
43,3,REGIÓN DE ATACAMA,33,HUASCO,3302,ALTO DEL CARMEN,2925,2374,5299,0,0,0,2925,2374,5299,0,2927,2927,4.42942332,8078731142.50391,527155.30927864,6155.73876953,0.86082274
44,14,REGIÓN DE LOS RÍOS,141,VALDIVIA,14102,CORRAL,935,886,1821,1700,1781,3481,2635,2667,5302,1450,1124,2574,2.70129277,1228398138.13672,338809.17887666,720.00378418,7.36385012
45,10,REGIÓN DE LOS LAGOS,102,CHILOÉ,10207,QUEILÉN,1611,1451,3062,1162,1161,2323,2773,2612,5385,957,1493,2450,2.06502732,615108764,259289.5059057,330.23956299,16.30634308
46,16,REGIÓN DE ÑUBLE,162,ITATA,16207,TREGUACO,1867,1760,3627,836,938,1774,2703,2698,5401,736,1788,2524,1.201884,484071326.181641,147016.56514538,312.81195068,17.26596451
47,16,REGIÓN DE ÑUBLE,162,ITATA,16206,RÁNQUIL,2088,2080,4168,754,833,1587,2842,2913,5755,675,2151,2826,0.83418372,386357581.464844,101751.0297015,248.37078857,23.17100143
48,8,REGIÓN DEL BIOBÍO,83,BIOBÍO,8314,ALTO BIOBÍO,3036,2887,5923,0,0,0,3036,2887,5923,0,2137,2137,2.59122196,3414319254.75781,321774.09644697,2127.01147461,2.78465819
49,8,REGIÓN DEL BIOBÍO,82,ARAUCO,8204,CONTULMO,1568,1402,2970,1460,1601,3061,3028,3003,6031,1228,1466,2694,1.98677296,1033771357.64844,247329.51563742,639.83618164,9.42584991
50,9,REGIÓN DE LA ARAUCANÍA,91,CAUTÍN,9110,MELIPEUCO,1748,1583,3331,1343,1464,2807,3091,3047,6138,1113,1629,2742,1.7626746,1825384390.45703,220281.88012491,1108.51818848,5.5371213
51,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,62,CARDENAL CARO,6206,PAREDONES,2301,2045,4346,919,923,1842,3220,2968,6188,828,3024,3852,1.3052208,850074173.457031,162088.60444504,574.07818604,10.77902031
52,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,62,CARDENAL CARO,6203,LITUECHE,1562,1364,2926,1725,1643,3368,3287,3007,6294,1434,2051,3485,1.87532959,905889919.794922,226737.24452567,619.38336182,10.16172028
53,5,REGIÓN DE VALPARAÍSO,54,PETORCA,5403,PAPUDO,619,323,942,2722,2692,5414,3341,3015,6356,5393,430,5823,0.6840752,234596116.798828,82471.29200146,166.61825562,38.14708328
54,13,REGIÓN METROPOLITANA DE SANTIAGO,135,MELIPILLA,13502,ALHUÉ,1955,1705,3660,1561,1223,2784,3516,2928,6444,1100,1558,2658,1.53548277,1233230276.93164,184082.71209738,844.64398193,7.62924957
55,2,REGIÓN DE ANTOFAGASTA,23,TOCOPILLA,2302,MARÍA ELENA,1318,214,1532,2774,2151,4925,4092,2365,6457,1793,166,1959,5.47360045,14561258605.1855,637254.83344374,12431.78710938,0.51939434
56,11,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,112,AYSÉN,11202,CISNES,1760,643,2403,2162,1952,4114,3922,2595,6517,1725,1215,2940,74.32063586,30225633304.9062,9570064.76876007,15408.5,0.42294839
57,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,62,CARDENAL CARO,6205,NAVIDAD,3475,3166,6641,0,0,0,3475,3166,6641,0,5525,5525,0.93201475,435844577.072266,114251.98897166,298.90045166,22.21809959
58,7,REGIÓN DEL MAULE,73,CURICÓ,7303,LICANTÉN,899,789,1688,2454,2511,4965,3353,3300,6653,3184,775,3959,1.12652289,405683609.576172,138129.96115172,272.01712036,24.45802116
