OBJECTID,REGION,NOM_REGION,PROVINCIA,NOM_PROVIN,COMUNA,NOM_COMUNA,T_HOM_R,T_MUJ_R,T_POB_R,T_HOM_U,T_MUJ_U,T_POB_U,T_HOM,T_MUJ,T_POB,T_VIV_U,T_VIV_R,T_VIV,Shape_Leng,Shape__Area,Shape__Length,SUPERFICIE__KM2_,Densidad_
117,16,REGIÓN DE ÑUBLE,161,DIGUILLÍN,16104,EL CARMEN,3707,3476,7183,2260,2601,4861,5967,6077,12044,1891,3022,4913,1.5897586,1044451751.01172,189569.12900046,667.01165771,18.05665588
118,3,REGIÓN DE ATACAMA,32,CHAÑARAL,3201,CHAÑARAL,624,512,1136,5646,5437,11083,6270,5949,12219,4252,1901,6153,4.27586012,7222324856.48047,501721.07810917,5771.23681641,2.11722374
119,10,REGIÓN DE LOS LAGOS,101,LLANQUIHUE,10104,FRESIA,2629,2301,4930,3552,3779,7331,6181,6080,12261,2795,2467,5262,2.6233875,2250857746.84766,330414.20052304,1274.17456055,9.62270069
120,9,REGIÓN DE LA ARAUCANÍA,91,CAUTÍN,9116,SAAVEDRA,4879,4842,9721,1250,1479,2729,6129,6321,12450,1241,4445,5686,1.17101326,643819229.332031,149771.67647843,389.95123291,31.92707062
121,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,63,COLCHAGUA,6306,PALMILLA,4631,4387,9018,1700,1764,3464,6331,6151,12482,1232,3321,4553,0.85357714,347149636.560547,102886.83094762,235.22695923,53.06364441
122,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,61,CACHAPOAL,6102,CODEGUA,3056,2913,5969,3454,3565,7019,6510,6478,12988,2364,2038,4402,1.25418491,417146783.4375,150733.99514545,285.4581604,45.49879074
123,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,61,CACHAPOAL,6114,QUINTA DE TILCOCO,2944,2780,5724,3575,3703,7278,6519,6483,13002,2603,2137,4740,0.44663831,127652869.244141,53803.51737456,86.75296021,149.87385559
124,5,REGIÓN DE VALPARAÍSO,56,SAN ANTONIO,5605,EL TABO,354,317,671,6328,6287,12615,6682,6604,13286,19536,1060,20596,0.59893512,142687727.025391,72091.65565346,98.97386932,134.23744202
125,2,REGIÓN DE ANTOFAGASTA,21,ANTOFAGASTA,2104,TALTAL,1780,414,2194,5701,5422,11123,7481,5836,13317,3905,688,4593,7.39619564,25089241898.0098,859635.69202272,20403.0625,0.65269613
126,4,REGIÓN DE COQUIMBO,43,LIMARÍ,4302,COMBARBALÁ,3801,3523,7324,2855,3143,5998,6656,6666,13322,2655,4344,6999,2.73064886,3144702788.44922,328965.48389799,2296.44140625,5.80114937
127,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,61,CACHAPOAL,6109,MALLOA,4044,3905,7949,2775,2683,5458,6819,6588,13407,1863,3160,5023,1.08630512,324704461.076172,131887.38568394,220.20779419,60.88340378
128,2,REGIÓN DE ANTOFAGASTA,21,ANTOFAGASTA,2102,MEJILLONES,331,182,513,7704,5250,12954,8035,5432,13467,3640,576,4216,3.28663848,4230302435.14844,383072.07623599,3568.84399414,3.77349067
129,13,REGIÓN METROPOLITANA DE SANTIAGO,135,MELIPILLA,13504,MARÍA PINTO,3520,3403,6923,3310,3357,6667,6830,6760,13590,2261,2591,4852,1.07762756,568714163.833984,129127.98716858,394.59832764,34.44008255
130,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,61,CACHAPOAL,6111,OLIVAR,2186,2134,4320,4636,4652,9288,6822,6786,13608,3189,1447,4636,0.3978629,69414146.4375,46209.05362385,47.31000137,287.63476563
131,8,REGIÓN DEL BIOBÍO,81,CONCEPCIÓN,8109,SANTA JUANA,2229,1926,4155,4522,5072,9594,6751,6998,13749,3589,2630,6219,1.70155474,1233219765.20703,212005.22980411,779.23498535,17.64422798
132,10,REGIÓN DE LOS LAGOS,102,CHILOÉ,10205,DALCAHUE,3382,3180,6562,3531,3669,7200,6913,6849,13762,2670,2989,5659,2.89389999,2250612476.64844,362976.1077405,1228.88867188,11.19873619
133,8,REGIÓN DEL BIOBÍO,83,BIOBÍO,8311,SANTA BÁRBARA,2996,2791,5787,3703,4283,7986,6699,7074,13773,2957,2490,5447,2.35264306,1996068533.97656,285755.85434738,1251.72814941,11.00318813
134,5,REGIÓN DE VALPARAÍSO,56,SAN ANTONIO,5602,ALGARROBO,1473,1445,2918,5261,5638,10899,6734,7083,13817,16912,3044,19956,0.71377974,252180955.826172,87074.78997359,175.50592041,78.7266922
135,7,REGIÓN DEL MAULE,71,TALCA,7108,RÍO CLARO,5073,4420,9493,2173,2240,4413,7246,6660,13906,1594,3912,5506,1.43664278,650377519.089844,175015.90445197,433.72781372,32.06158447
136,3,REGIÓN DE ATACAMA,32,CHAÑARAL,3202,DIEGO DE ALMAGRO,389,281,670,7097,6158,13255,7486,6439,13925,6216,698,6914,7.97840707,23699974503.5625,938016.51704072,18977.484375,0.73376429
137,5,REGIÓN DE VALPARAÍSO,57,SAN FELIPE DE ACONCAGUA,5702,CATEMU,3141,3044,6185,3841,3972,7813,6982,7016,13998,2657,2514,5171,0.91792233,511378437.160156,111602.03271972,361.23233032,38.75068283
138,3,REGIÓN DE ATACAMA,31,COPIAPÓ,3103,TIERRA AMARILLA,2720,1364,4084,5076,4859,9935,7796,6223,14019,3256,1489,4745,6.29868374,14462008002.1602,749082.45407834,11251.10253906,1.24601126
139,10,REGIÓN DE LOS LAGOS,103,OSORNO,10305,RÍO NEGRO,3735,3366,7101,3316,3668,6984,7051,7034,14085,2638,3032,5670,3.09938932,2212325419.60938,385872.46053315,1267.15075684,11.11548901
140,8,REGIÓN DEL BIOBÍO,83,BIOBÍO,8312,TUCAPEL,1166,1081,2247,5710,6177,11887,6876,7258,14134,5211,1299,6510,1.72489992,1438157194.80859,210256.56070812,911.22955322,15.51091003
141,10,REGIÓN DE LOS LAGOS,101,LLANQUIHUE,10108,MAULLÍN,3985,3605,7590,3246,3380,6626,7231,6985,14216,2741,3889,6630,3.3242913,1446410127.25391,417772.74605666,806.4833374,17.62714767
142,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,61,CACHAPOAL,6112,PEUMO,1227,1086,2313,6010,5990,12000,7237,7076,14313,4102,829,4931,0.59050006,227862745.185547,72526.44194735,155.18952942,92.22916412
143,9,REGIÓN DE LA ARAUCANÍA,91,CAUTÍN,9107,GORBEA,2187,2067,4254,4758,5402,10160,6945,7469,14414,4013,2106,6119,1.7153042,1149790467.35938,210702.8182591,690.68371582,20.86917496
144,14,REGIÓN DE LOS RÍOS,142,RANCO,14202,FUTRONO,3323,3159,6482,3929,4254,8183,7252,7413,14665,3269,3231,6500,3.27336266,3602720947.65234,403272.09962758,2105.75390625,6.964252
145,5,REGIÓN DE VALPARAÍSO,53,LOS ANDES,5302,CALLE LARGA,2132,2009,4141,5196,5495,10691,7328,7504,14832,3925,1563,5488,0.97747703,458933999.835938,119394.59620221,322.09448242,46.04860306
146,10,REGIÓN DE LOS LAGOS,102,CHILOÉ,10203,CHONCHI,4618,4526,9144,2827,2887,5714,7445,7413,14858,2161,4545,6706,2.38690344,2528748510.00781,303343.51958342,1365.17370605,10.88359737
147,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,63,COLCHAGUA,6302,CHÉPICA,3325,3066,6391,4252,4394,8646,7577,7460,15037,3258,2482,5740,1.46535509,710036666.640625,177737.64624301,477.99606323,31.45841789
148,9,REGIÓN DE LA ARAUCANÍA,91,CAUTÍN,9117,TEODORO SCHMIDT,4951,4691,9642,2575,2828,5403,7526,7519,15045,2245,4197,6442,1.65517472,1083850951.97266,210875.55945629,653.54962158,23.02043915
149,7,REGIÓN DEL MAULE,73,CURICÓ,7306,ROMERAL,4474,4184,8658,3150,3379,6529,7624,7563,15187,2234,3475,5709,2.59842176,2399735651.3125,313962.22186011,1603.04650879,9.47383595
150,5,REGIÓN DE VALPARAÍSO,57,SAN FELIPE DE ACONCAGUA,5706,SANTA MARÍA,2819,2634,5453,4767,5021,9788,7586,7655,15241,3480,2107,5587,0.73653544,234560072.449219,90401.83518162,165.71981812,91.96848297
151,1,REGIÓN DE TARAPACÁ,14,TAMARUGAL,1401,POZO ALMONTE,3648,1968,5616,5339,4756,10095,8987,6724,15711,3367,5559,8926,6.68733125,15843650927.749,770446.29413089,13769.12109375,1.14103138
152,5,REGIÓN DE VALPARAÍSO,56,SAN ANTONIO,5604,EL QUISCO,569,519,1088,7257,7610,14867,7826,8129,15955,17328,984,18312,0.4164069,72809579.984375,50235.97474807,50.65378571,314.98138428
153,16,REGIÓN DE ÑUBLE,162,ITATA,16203,COELEMU,2377,2183,4560,5496,5939,11435,7873,8122,15995,3976,2164,6140,1.00808733,532782358.613281,123516.38900438,343.61364746,46.54937363
154,16,REGIÓN DE ÑUBLE,161,DIGUILLÍN,16108,SAN IGNACIO,4681,4596,9277,3201,3601,6802,7882,8197,16079,2673,3978,6651,1.25917756,565992102.050781,151410.9851282,362.28158569,44.38260651
155,7,REGIÓN DEL MAULE,74,LINARES,7407,VILLA ALEGRE,3324,3221,6545,4556,5120,9676,7880,8341,16221,4064,2769,6833,0.72300499,288426096.802734,88351.79801839,189.88801575,85.42402649
156,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,62,CARDENAL CARO,6201,PICHILEMU,1883,1608,3491,6406,6497,12903,8289,8105,16394,9303,2753,12056,1.77207621,1052382635.75586,218509.91806225,715.66607666,22.90733147
157,14,REGIÓN DE LOS RÍOS,141,VALDIVIA,14103,LANCO,2603,2542,5145,5621,5986,11607,8224,8528,16752,4331,2119,6450,1.58492801,894625572.679688,194794.15617683,531.89306641,31.49505043
158,5,REGIÓN DE VALPARAÍSO,57,SAN FELIPE DE ACONCAGUA,5705,PUTAENDO,5074,4946,10020,3284,3450,6734,8358,8396,16754,2464,3873,6337,2.20276594,2045289013.10156,265557.47992845,1450.3269043,11.55187798
159,10,REGIÓN DE LOS LAGOS,101,LLANQUIHUE,10106,LOS MUERMOS,4841,4121,8962,3840,4266,8106,8681,8387,17068,3028,4236,7264,2.57277436,2172787106.16797,325806.05021558,1220.96984863,13.97905159
160,9,REGIÓN DE LA ARAUCANÍA,92,MALLECO,9203,CURACAUTÍN,2427,2148,4575,5949,6889,12838,8376,9037,17413,5463,2719,8182,2.17792784,2706477491.28906,269373.61462357,1659.99572754,10.48978615
161,16,REGIÓN DE ÑUBLE,161,DIGUILLÍN,16107,QUILLÓN,3663,3399,7062,5001,5422,10423,8664,8821,17485,5483,5256,10739,1.28847876,635126893.21875,158991.55843811,406.53512573,43.00981522
162,5,REGIÓN DE VALPARAÍSO,58,MARGA MARGA,5803,OLMUÉ,2663,2576,5239,5934,6343,12277,8597,8919,17516,5859,3231,9090,0.69297006,329842005.251953,83271.92922823,231.24816895,75.74546051
163,9,REGIÓN DE LA ARAUCANÍA,91,CAUTÍN,9103,CUNCO,4547,4132,8679,4218,4629,8847,8765,8761,17526,3460,4576,8036,2.88726065,3131477594.99609,355657.69978895,1891.43859863,9.26596355
164,10,REGIÓN DE LOS LAGOS,101,LLANQUIHUE,10107,LLANQUIHUE,1726,1643,3369,6901,7321,14222,8627,8964,17591,4726,1409,6135,1.31540819,766379273.523438,162528.48580798,433.0869751,40.6177063
165,3,REGIÓN DE ATACAMA,31,COPIAPÓ,3102,CALDERA,1100,787,1887,7994,7781,15775,9094,8568,17662,7341,8310,15651,4.68012017,4667094790.28711,555113.07080542,3680.55249023,4.7987361
166,16,REGIÓN DE ÑUBLE,161,DIGUILLÍN,16109,YUNGAY,2432,2052,4484,6532,6771,13303,8964,8823,17787,5661,2623,8284,2.09988255,1297010794.69922,253489.3135362,824.80090332,21.56520462
167,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,63,COLCHAGUA,6305,NANCAGUA,3305,3188,6493,5525,5815,11340,8830,9003,17833,4082,2464,6546,0.74330447,224367071.761719,90301.8199746,151.56584167,117.65843201
168,5,REGIÓN DE VALPARAÍSO,55,QUILLOTA,5503,HIJUELAS,3237,3016,6253,5800,5935,11735,9037,8951,17988,4028,2568,6596,0.87786972,382230816.396484,107612.96153045,268.95727539,66.88051605
169,7,REGIÓN DEL MAULE,74,LINARES,7408,YERBAS BUENAS,6087,5807,11894,3038,3149,6187,9125,8956,18081,2297,4516,6813,0.86076067,394528556.037109,105830.96328675,259.60522461,69.64805603
170,13,REGIÓN METROPOLITANA DE SANTIAGO,132,CORDILLERA,13203,SAN JOSÉ DE MAIPO,4233,2748,6981,5628,5580,11208,9861,8328,18189,4033,2893,6926,4.67419652,7222227505.11133,576352.56053006,4982.68408203,3.65044212
171,10,REGIÓN DE LOS LAGOS,101,LLANQUIHUE,10105,FRUTILLAR,2825,2651,5476,6268,6684,12952,9093,9335,18428,5259,2650,7909,1.66896962,1459163294.81641,205352.90238139,828.11767578,22.25287628
172,7,REGIÓN DEL MAULE,73,CURICÓ,7307,SAGRADA FAMILIA,5433,5225,10658,3951,3935,7886,9384,9160,18544,2904,3938,6842,1.31864687,820070280.650391,159034.50107895,547.92944336,33.8437767
173,5,REGIÓN DE VALPARAÍSO,51,VALPARAÍSO,5105,PUCHUNCAVÍ,1397,1290,2687,7961,7898,15859,9358,9188,18546,15531,1920,17451,1.02356086,425977614.912109,123980.40592527,300.57559204,61.70161438
174,9,REGIÓN DE LA ARAUCANÍA,92,MALLECO,9210,TRAIGUÉN,2400,2093,4493,6619,7731,14350,9019,9824,18843,5646,1610,7256,1.91455826,1457396873.75781,239201.1725268,897.68652344,20.99062347
175,5,REGIÓN DE VALPARAÍSO,53,LOS ANDES,5304,SAN ESTEBAN,3847,3636,7483,5456,5916,11372,9303,9552,18855,4051,3272,7323,1.81414075,1946417524.82617,220295.87779961,1374.35717773,13.71914101
176,13,REGIÓN METROPOLITANA DE SANTIAGO,133,CHACABUCO,13303,TILTIL,3499,2743,6242,6548,6522,13070,10047,9265,19312,4341,2593,6934,1.31310158,934028891.802734,159192.4370023,654.22753906,29.51878166
177,5,REGIÓN DE VALPARAÍSO,54,PETORCA,5402,CABILDO,3693,3522,7215,5774,6399,12173,9467,9921,19388,4311,2753,7064,2.50247246,2049622739.3457,298882.7572104,1456.17114258,13.3143692
178,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,61,CACHAPOAL,6104,COLTAUCO,4299,4087,8386,5507,5704,11211,9806,9791,19597,4074,3493,7567,0.8689456,326618189.224609,106546.998858,222.50146484,88.07582092
179,14,REGIÓN DE LOS RÍOS,141,VALDIVIA,14104,LOS LAGOS,5043,4793,9836,4714,5084,9798,9757,9877,19634,3501,4412,7913,3.22616668,3042373338.72656,401592.24593002,1790.02990723,10.96853161
180,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,61,CACHAPOAL,6113,PICHIDEGUA,5343,5068,10411,4737,4566,9303,10080,9634,19714,3331,3956,7287,1.00765033,468907659.304688,123228.4479636,318.85824585,61.82685089
181,7,REGIÓN DEL MAULE,74,LINARES,7405,RETIRO,6625,6286,12911,3429,3634,7063,10054,9920,19974,2819,5441,8260,1.96444004,1262941186.14258,242686.42293987,825.61547852,24.19285965
182,14,REGIÓN DE LOS RÍOS,141,VALDIVIA,14107,PAILLACO,3950,3786,7736,6117,6335,12452,10067,10121,20188,4440,3186,7626,2.10695119,1541039596.98438,261851.03788765,901.45721436,22.39484978
183,10,REGIÓN DE LOS LAGOS,103,OSORNO,10303,PURRANQUE,3138,2828,5966,6838,7565,14403,9976,10393,20369,5128,2745,7873,3.49868096,2544969192.34375,436778.63561563,1450.35681152,14.04413128
184,7,REGIÓN DEL MAULE,74,LINARES,7402,COLBÚN,5949,5764,11713,4256,4796,9052,10205,10560,20765,3721,5300,9021,4.3111858,4488931910.95898,528791.85566753,2926.17333984,7.09629869
185,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,61,CACHAPOAL,6105,DOÑIHUE,2324,2139,4463,8070,8354,16424,10394,10493,20887,5934,1804,7738,0.43939277,117361953.537109,52774.79572405,80.1426239,260.62286377
186,8,REGIÓN DEL BIOBÍO,82,ARAUCO,8206,LOS ÁLAMOS,1157,1152,2309,9046,9680,18726,10203,10832,21035,6814,907,7721,1.88322865,961624770.773438,235085.58934844,601.34741211,34.97977829
187,8,REGIÓN DEL BIOBÍO,83,BIOBÍO,8313,YUMBEL,4372,4115,8487,6093,6618,12711,10465,10733,21198,4902,5346,10248,1.75594919,1146883277.67969,215543.06557226,728.60876465,29.09380341
188,14,REGIÓN DE LOS RÍOS,141,VALDIVIA,14106,MARIQUINA,5826,5493,11319,4781,5178,9959,10607,10671,21278,3438,4979,8417,3.7534259,2180760009.82812,470782.7280589,1296.24841309,16.41506386
189,4,REGIÓN DE COQUIMBO,42,CHOAPA,4203,LOS VILOS,2354,1934,4288,8707,8387,17094,11061,10321,21382,10561,2727,13288,2.82222668,2590511814.29688,339525.33769024,1858.90454102,11.50247383
190,12,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,124,ÚLTIMA ESPERANZA,12401,NATALES,1477,820,2297,9515,9665,19180,10992,10485,21477,8045,1324,9369,377.55322975,121366355537.969,50997972.1934879,48695.296875,0.44104874
191,16,REGIÓN DE ÑUBLE,161,DIGUILLÍN,16102,BULNES,4039,3963,8002,6343,7148,13491,10382,11111,21493,5110,3641,8751,1.11973236,666358727.246094,138020.68585971,426.73883057,50.36570358
192,5,REGIÓN DE VALPARAÍSO,55,QUILLOTA,5504,LA CRUZ,1330,1316,2646,9326,10126,19452,10656,11442,22098,7084,980,8064,0.48128852,111108703.595703,57173.09386686,78.13705444,282.8107605
193,5,REGIÓN DE VALPARAÍSO,55,QUILLOTA,5506,NOGALES,1737,1604,3341,9062,9717,18779,10799,11321,22120,6317,1373,7690,1.02301213,573579477.873047,122642.42424053,405.20376587,54.58982086
194,8,REGIÓN DEL BIOBÍO,83,BIOBÍO,8304,LAJA,3099,3068,6167,7645,8577,16222,10744,11645,22389,6013,2734,8747,0.79868488,543470069.441406,97419.42519922,343.54266357,65.17094421
195,5,REGIÓN DE VALPARAÍSO,56,SAN ANTONIO,5603,CARTAGENA,993,899,1892,10272,10574,20846,11265,11473,22738,14954,824,15778,0.91420596,352543421.880859,109229.13175232,244.55841064,92.97574615
196,9,REGIÓN DE LA ARAUCANÍA,91,CAUTÍN,9109,LONCOCHE,3634,3386,7020,7868,8724,16592,11502,12110,23612,6621,3448,10069,2.30173052,1628795363.76562,282667.96870945,972.51611328,24.27928925
197,11,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,112,AYSÉN,11201,AYSÉN,2442,1209,3651,10277,10031,20308,12719,11240,23959,7913,1704,9617,101.34557765,61944075457.8711,13196260.0896124,29906.06835938,0.80114174
198,8,REGIÓN DEL BIOBÍO,81,CONCEPCIÓN,8105,HUALQUI,1813,1631,3444,10030,10859,20889,11843,12490,24333,7011,2020,9031,1.34874603,839128259.890625,168142.43528504,533.9006958,45.5758934
199,9,REGIÓN DE LA ARAUCANÍA,91,CAUTÍN,9102,CARAHUE,5910,5370,11280,6292,6961,13253,12202,12331,24533,4952,4646,9598,2.81056317,2189737575.09766,358130.18183684,1334.7734375,18.37989807
200,9,REGIÓN DE LA ARAUCANÍA,92,MALLECO,9202,COLLIPULLI,3314,2945,6259,8750,9589,18339,12064,12534,24598,6752,2589,9341,2.77187613,2109220835.67969,338567.1244635,1307.90270996,18.80720901
201,9,REGIÓN DE LA ARAUCANÍA,91,CAUTÍN,9105,FREIRE,8615,8105,16720,3798,4088,7886,12413,12193,24606,2706,6587,9293,2.00590173,1449369645.89453,248960.52337434,875.38824463,28.10867119
202,5,REGIÓN DE VALPARAÍSO,57,SAN FELIPE DE ACONCAGUA,5703,LLAILLAY,3447,3189,6636,8769,9203,17972,12216,12392,24608,6375,2552,8927,0.97022475,496434423.960938,116252.44636753,349.10681152,70.48845673
203,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,61,CACHAPOAL,6107,LAS CABRAS,7896,7166,15062,4760,4818,9578,12656,11984,24640,3597,8297,11894,1.53599593,1098777079.33594,186833.92800423,750.50964355,32.83102417
204,9,REGIÓN DE LA ARAUCANÍA,91,CAUTÍN,9114,PITRUFQUÉN,4282,4024,8306,7783,8748,16531,12065,12772,24837,6169,3999,10168,2.15361043,959745386.261719,263912.63726542,577.35046387,43.01893234
205,2,REGIÓN DE ANTOFAGASTA,23,TOCOPILLA,2301,TOCOPILLA,355,200,555,12126,12505,24631,12481,12705,25186,9145,1525,10670,3.71146301,4714545312.5,432838.42917811,4030.68457031,6.24856615
206,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,61,CACHAPOAL,6110,MOSTAZAL,2245,2144,4389,10418,10536,20954,12663,12680,25343,7224,1876,9100,1.25971933,764970785.599609,150242.18140402,524.69616699,48.30033493
207,13,REGIÓN METROPOLITANA DE SANTIAGO,134,MAIPO,13403,CALERA DE TANGO,6963,6884,13847,5755,5790,11545,12718,12674,25392,3525,4076,7601,0.44059838,105831328.03125,53700.84840302,73.14889526,347.12762451
208,8,REGIÓN DEL BIOBÍO,82,ARAUCO,8201,LEBU,1067,978,2045,11374,12103,23477,12441,13081,25522,8241,1047,9288,2.11344116,896544006.574219,267490.10206552,560.30725098,45.55001068
209,8,REGIÓN DEL BIOBÍO,83,BIOBÍO,8306,NACIMIENTO,1840,1444,3284,11122,11909,23031,12962,13353,26315,8193,1937,10130,1.94707854,1441694451.19531,242252.26809488,906.35174561,29.03398132
210,13,REGIÓN METROPOLITANA DE SANTIAGO,132,CORDILLERA,13202,PIRQUE,7536,7315,14851,5893,5777,11670,13429,13092,26521,3530,4778,8308,1.01236547,645581140.398438,124097.24660945,445.25314331,59.56386948
211,5,REGIÓN DE VALPARAÍSO,51,VALPARAÍSO,5102,CASABLANCA,4639,4226,8865,8707,9295,18002,13346,13521,26867,6256,5350,11606,2.02327747,1370067308.10938,243996.5122225,954.60717773,28.14455986
212,16,REGIÓN DE ÑUBLE,163,PUNILLA,16302,COIHUECO,9105,8678,17783,4319,4779,9098,13424,13457,26881,3166,6888,10054,2.74629399,2760211454.51172,332897.78484003,1773.47302246,15.15726471
213,10,REGIÓN DE LOS LAGOS,102,CHILOÉ,10208,QUELLÓN,4960,4418,9378,8897,8917,17814,13857,13335,27192,6759,4244,11003,9.11097611,6291297325.39844,1166512.8904008,3344.59838867,8.13012409
214,4,REGIÓN DE COQUIMBO,41,ELQUI,4106,VICUÑA,5608,5170,10778,8184,8809,16993,13792,13979,27771,6202,4577,10779,5.72114099,10121549267.1426,684220.65964071,7579.3671875,3.66402602
215,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,61,CACHAPOAL,6116,REQUÍNOA,6027,5658,11685,8098,8185,16283,14125,13843,27968,5222,4014,9236,1.38624757,991141596.095703,166382.73411005,673.90948486,41.50112534
216,9,REGIÓN DE LA ARAUCANÍA,91,CAUTÍN,9119,VILCÚN,6472,6257,12729,7401,8021,15422,13873,14278,28151,6060,5052,11112,2.71574428,2326964864.41797,328634.96446613,1416.16186523,19.87837791
217,9,REGIÓN DE LA ARAUCANÍA,91,CAUTÍN,9115,PUCÓN,5222,4947,10169,8884,9470,18354,14106,14417,28523,10527,6829,17356,2.1667928,2084745938.21875,269672.72233402,1249.06665039,22.83544922
218,8,REGIÓN DEL BIOBÍO,83,BIOBÍO,8303,CABRERO,3694,3315,7009,10480,11084,21564,14174,14399,28573,7826,3222,11048,1.4317665,1034227658.11719,177259.9492862,657.36456299,43.46598816
219,7,REGIÓN DEL MAULE,73,CURICÓ,7308,TENO,10113,9276,19389,4651,4881,9532,14764,14157,28921,3440,7367,10807,1.70458143,922297327.611328,204317.21871578,619.37634277,46.69374466
220,4,REGIÓN DE COQUIMBO,42,CHOAPA,4204,SALAMANCA,7114,5430,12544,8598,8205,16803,15712,13635,29347,6044,4653,10697,3.63953715,4794187013.01172,437599.43383281,3445.53930664,8.5173893
221,8,REGIÓN DEL BIOBÍO,83,BIOBÍO,8305,MULCHÉN,2954,2524,5478,11643,12506,24149,14597,15030,29627,8270,2419,10689,3.07358014,3082443220.79688,379762.58655937,1920.79382324,15.42435169
222,7,REGIÓN DEL MAULE,74,LINARES,7403,LONGAVÍ,11007,10280,21287,4475,4772,9247,15482,15052,30534,3345,8543,11888,2.63409674,2232577638.67969,325230.49935314,1454.8326416,20.9879818
223,4,REGIÓN DE COQUIMBO,43,LIMARÍ,4303,MONTE PATRIA,7791,7622,15413,7479,7859,15338,15270,15481,30751,5519,7555,13074,3.68039953,5731217022.60547,442605.58359128,4210.92382813,7.30267286
224,4,REGIÓN DE COQUIMBO,42,CHOAPA,4201,ILLAPEL,4978,4818,9796,9761,11291,21052,14739,16109,30848,7891,4429,12320,3.47658518,3629461984.70312,418774.86152017,2628.03930664,11.73802853
225,16,REGIÓN DE ÑUBLE,161,DIGUILLÍN,16103,CHILLÁN VIEJO,1791,1707,3498,12790,14619,27409,14581,16326,30907,9717,1559,11276,0.92274493,410572534.453125,112307.45866123,263.63903809,117.23225403
226,14,REGIÓN DE LOS RÍOS,142,RANCO,14204,RÍO BUENO,7448,6781,14229,8044,9099,17143,15492,15880,31372,6729,6583,13312,3.5328448,3764992814.84766,432091.90608118,2175.37011719,14.42145443
227,5,REGIÓN DE VALPARAÍSO,51,VALPARAÍSO,5107,QUINTERO,2579,2460,5039,13255,13629,26884,15834,16089,31923,14952,2490,17442,0.75490649,207524809.361328,91870.51333098,146.16297913,218.40687561
228,8,REGIÓN DEL BIOBÍO,82,ARAUCO,8205,CURANILAHUE,1161,953,2114,14667,15507,30174,15828,16460,32288,10300,1001,11301,2.04641841,1593853083.25781,251827.10878488,1001.70922852,32.23290634
229,9,REGIÓN DE LA ARAUCANÍA,91,CAUTÍN,9111,NUEVA IMPERIAL,6982,6647,13629,8888,9993,18881,15870,16640,32510,6471,5659,12130,1.75699219,1200724581.41406,222732.02368931,729.03094482,44.59344101
230,13,REGIÓN METROPOLITANA DE SANTIAGO,135,MELIPILLA,13503,CURACAVÍ,6288,5931,12219,9934,10426,20360,16222,16357,32579,6701,5105,11806,1.50720965,997658179.080078,183504.9706252,694.06561279,46.93936539
231,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,61,CACHAPOAL,6106,GRANEROS,1931,1685,3616,14703,15118,29821,16634,16803,33437,10169,1222,11391,0.53941403,164020453.617188,66122.21937954,112.25189209,297.87469482
232,10,REGIÓN DE LOS LAGOS,101,LLANQUIHUE,10102,CALBUCO,9268,8721,17989,7836,8160,15996,17104,16881,33985,6015,7555,13570,4.80667153,1055391910.89062,603170.0860274,587.70477295,57.82665253
233,9,REGIÓN DE LA ARAUCANÍA,92,MALLECO,9211,VICTORIA,4806,4520,9326,11602,13254,24856,16408,17774,34182,8959,3869,12828,2.00142503,2047228793.51562,246142.99999135,1260.46911621,27.11847496
234,8,REGIÓN DEL BIOBÍO,82,ARAUCO,8203,CAÑETE,7554,7489,15043,9087,10407,19494,16641,17896,34537,7125,5730,12855,2.28762767,1747980313.84375,286923.811237,1087.08129883,31.77039146
235,14,REGIÓN DE LOS RÍOS,141,VALDIVIA,14108,PANGUIPULLI,9939,9327,19266,7260,8013,15273,17199,17340,34539,6814,9996,16810,3.7213785,5579645886.03906,461350.40904871,3300.37792969,10.46516514
