CODIGO_POSTAL_COMUNA,COMUNA,NOM_COMUNA
3550000,7107,PENCAHUE
4150000,8107,PENCO
9750000,13605,PEÑAFLOR
7910000,13122,PEÑALOLÉN
3170000,6307,PERALILLO
4870000,9113,PERQUENCO
2030000,5404,PETORCA
2990000,6112,PEUMO
1170000,1405,PICA
2980000,6113,PICHIDEGUA
3220000,6201,PICHILEMU
3880000,16106,PINTO
9480000,13202,PIRQUE
4950000,9114,PITRUFQUÉN
3100000,6308,PLACILLA
3960000,16205,PORTEZUELO
6300000,12301,PORVENIR
1180000,1401,POZO ALMONTE
6310000,12302,PRIMAVERA
7500000,13123,PROVIDENCIA
2500000,5105,PUCHUNCAVÍ
4920000,9115,PUCÓN
9020000,13124,PUDAHUEL
8150000,13201,PUENTE ALTO
5480000,10101,PUERTO MONTT
5370000,10302,PUERTO OCTAY
5550000,10109,PUERTO VARAS
3150000,6309,PUMANQUE
1900000,4304,PUNITAQUI
6200000,12101,PUNTA ARENAS
5760000,10206,PUQUELDÓN
4750000,9208,PURÉN
5380000,10303,PURRANQUE
2190000,5705,PUTAENDO
1070000,15201,PUTRE
5360000,10304,PUYEHUE
5780000,10207,QUEILÉN
5790000,10208,QUELLÓN
5720000,10209,QUEMCHI
4520000,8308,QUILACO
8700000,13125,QUILICURA
4500000,8309,QUILLECO
3940000,16107,QUILLÓN
2260000,5501,QUILLOTA
2430000,5801,QUILPUÉ
5750000,10210,QUINCHAO
2960000,6114,QUINTA DE TILCOCO
8500000,13126,QUINTA NORMAL
2490000,5107,QUINTERO
4000000,16201,QUIRIHUE
2820000,6101,RANCAGUA
3950000,16206,RÁNQUIL
3430000,7305,RAUCO
8420000,13127,RECOLETA
4670000,9209,RENAICO
8640000,13128,RENCA
2940000,6115,RENGO
2930000,6116,REQUÍNOA
3640000,7405,RETIRO
2140000,5303,RINCONADA
5240000,14204,RÍO BUENO
3510000,7108,RÍO CLARO
1870000,4305,RÍO HURTADO
6060000,11402,RÍO IBÁÑEZ
5390000,10305,RÍO NEGRO
6240000,12103,RÍO VERDE
3370000,7306,ROMERAL
5000000,9116,SAAVEDRA
3390000,7307,SAGRADA FAMILIA
1950000,4204,SALAMANCA
2660000,5601,SAN ANTONIO
8050000,13401,SAN BERNARDO
3840000,16301,SAN CARLOS
3520000,7109,SAN CLEMENTE
2120000,5304,SAN ESTEBAN
3860000,16304,SAN FABIÁN
2170000,5701,SAN FELIPE
3070000,6301,SAN FERNANDO
6260000,12104,SAN GREGORIO
3890000,16108,SAN IGNACIO
3660000,7406,SAN JAVIER
8940000,13129,SAN JOAQUÍN
9460000,13203,SAN JOSÉ DE MAIPO
5400000,10306,SAN JUAN DE LA COSTA
8900000,13130,SAN MIGUEL
4020000,16305,SAN NICOLÁS
5350000,10307,SAN PABLO
,13505,SAN PEDRO
1410000,2203,SAN PEDRO DE ATACAMA
4130000,8108,SAN PEDRO DE LA PAZ
3490000,7110,SAN RAFAEL
8860000,13131,SAN RAMÓN
4570000,8310,SAN ROSENDO
2970000,6117,SAN VICENTE
4510000,8311,SANTA BÁRBARA
3130000,6310,SANTA CRUZ
4230000,8109,SANTA JUANA
2200000,5706,SANTA MARÍA
8320000,13101,SANTIAGO
2720000,5606,SANTO DOMINGO
1320000,2103,SIERRA GORDA
9670000,13601,TALAGANTE
3460000,7101,TALCA
4260000,8110,TALCAHUANO
1300000,2104,TALTAL
